#{"t_start": 1612627554.8002896, "env_id": "Scarecrow-v0"}
r,l,t
-5181.916111,1000,882.626189
-3281.734946,1000,889.50523
-5224.403705,1000,891.895241
-6235.85,1000,897.51121
-3613.087835,1000,899.579109
-3061.7,1000,904.617148
-5644.481039,1000,906.63415
-3788.940535,1000,911.731229
-4520,1000,913.832245
-4850.322968,1000,915.82327
-5586.248333,1000,920.793672
-3468.9593,1000,922.833822
-4547.235134,1000,928.323226
-1499.414926,1000,931.064249
-4348.940535,1000,936.71054
-5831.71348,1000,938.689125
-5881.721559,1000,943.762821
-4094.433333,1000,946.089984
-4570.318467,1000,951.432254
-5195.860779,1000,953.686132
-4831.435134,1000,959.782174
-4705.852701,1000,961.829161
-5223.086034,1000,966.831221
-3424.166667,1000,968.812239
-3207.584946,1000,974.051444
-2375.85,1000,976.147195
-4855.85,1000,981.096961
-5230,1000,983.037317
-5505.566667,1000,988.551012
-2478.785134,1000,990.710196
-4629.016971,1000,996.022233
-3521.702701,1000,997.963252
-5276.293704,1000,1003.034236
-5392.073869,1000,1005.054253
-5395.852701,1000,1010.192224
-3559.65,1000,1012.336824
-3953.1,1000,1017.880224
-4095.033333,1000,1019.883329
-4620,1000,1024.976132
-3790.3,1000,1027.04717
-1750,1000,1032.115207
-3411.7018,1000,1034.192211
-4780.320268,1000,1039.265225
-4072.833333,1000,1041.232226
-4583.087835,1000,1046.636277
-2807.566181,1000,1048.650275
-4533.083333,1000,1053.431687
-2598.933333,1000,1055.461241
-6071.7,1000,1060.402254
-3983.083333,1000,1062.481255
-5941.734946,1000,1067.690735
-3934.783333,1000,1069.799257
-4871.7,1000,1071.786257
-4016.166667,1000,1077.286258
-6032.02837,1000,1079.364258
-5977.233333,1000,1084.240257
-4497.233333,1000,1086.219935
-5165.860779,1000,1091.159412
-3065.852701,1000,1093.525208
-1833.094113,1000,1098.528229
-5097.235134,1000,1100.501228
-4933.087835,1000,1106.007006
-6351.7,1000,1107.915058
-4574.801299,1000,1112.957355
-3931.7,1000,1115.070762
-3872.033748,1000,1120.092574
-5643.4,1000,1122.064211
-4693.083333,1000,1127.027407
-4013.09322,1000,1129.076606
-6265.852701,1000,1134.239178
-5850.320268,1000,1136.455351
-5107.235134,1000,1141.403858
-2884.466667,1000,1143.442706
-5133.4,1000,1148.484366
-4048.936034,1000,1150.657132
-5261.71348,1000,1155.770189
-5855.860779,1000,1157.772204
-5203.09322,1000,1162.835253
-4607.869367,1000,1165.289253
-3545.85,1000,1170.77421
-6660,1000,1172.783439
-6546.166667,1000,1177.925223
-4951.7,1000,1179.946248
-4457.233333,1000,1185.069241
-4586.4,1000,1187.172251
-4464.498889,1000,1192.512422
-5263.083333,1000,1194.719177
-4993.110224,1000,1199.858208
-4273.019367,1000,1201.842243
-6247.235134,1000,1206.830744
-4363.083333,1000,1208.957253
-4717.249444,1000,1213.90819
-4457.555401,1000,1215.941279
-5040,1000,1220.878701
-5561.71348,1000,1222.979343
-5470,1000,1225.066279
-4723.752701,1000,1230.232417
-5325.852701,1000,1232.215288
-6463.087835,1000,1237.154555
-4910,1000,1239.15716
-7443.135999,1000,1244.118241
-5240.322968,1000,1246.137349
-5075.860779,1000,1251.760241
-6110,1000,1254.172966
-3737.24052,1000,1259.769797
-5593.123611,1000,1261.791971
-5480.322968,1000,1266.90723
-2803.095913,1000,1268.904382
-4111.7,1000,1273.860683
